project_id,state,district,project_type,priority,current_stage,land_area_hectares,affected_owner_count,household_count,project_value_cr,compensation_offered_cr,compensation_paid_cr,compensation_pending_cr,compensation_paid_ratio,pending_document_count,document_pending_ratio,pending_approval_count,approval_age_days,objection_count,court_stay_flag,legal_issue_count,utility_shift_pending,forest_clearance_pending,railway_crossing_pending,stage_age_days,project_age_days,days_to_target,overall_progress_pct,progress_gap,district_delay_rate,past_delay_count,ground_truth_prob,delay_flag,delay_days
LA-2026-1014,Madhya Pradesh,Indore,National Highway Corridor,Normal,Stage 2: Section 11 Notification,107.44,843,879,412.07,113.42,22.34,91.08,0.197,14,0.56,0,0,18,0,18,1,0,0,118,392,229,0.98,62.1,0.208,6,0.803,1,128
LA-2026-1015,Uttar Pradesh,Varanasi,High-Speed Rail / DFC,High,Stage 1: Preliminary Survey & SIA,5.43,45,37,160.14,48.49,8.49,40.0,0.175,8,0.471,7,31,0,0,0,1,0,0,118,173,466,0.98,26.1,0.426,0,0.566,1,116
LA-2026-1016,Maharashtra,Aurangabad,Rural Road Connectivity (PMGSY),Normal,Stage 6: Land Possession & Handover,113.49,514,439,330.84,141.26,88.0,53.26,0.623,15,0.556,3,110,11,0,11,0,0,0,114,115,307,0.98,26.3,0.327,2,0.638,1,448
LA-2026-1017,Rajasthan,Kota,Major Irrigation & Canal,Cabinet Fast-Track,Stage 5: Valuation & Compensation Award,187.73,1357,1444,512.55,276.31,91.46,184.85,0.331,9,0.692,8,7,17,0,17,0,0,0,65,181,193,0.98,47.4,0.214,6,0.764,1,226
LA-2026-1018,Gujarat,Ahmedabad,Renewable Energy Solar Park,Normal,Stage 2: Section 11 Notification,74.17,614,543,174.9,95.67,10.91,84.76,0.114,15,0.455,6,15,19,0,19,0,1,0,27,334,-84,0.98,99.0,0.181,0,0.674,1,84
LA-2026-1019,Madhya Pradesh,Ujjain,Renewable Energy Solar Park,Critical,Stage 3: Section 15 Hearing & Objections,58.26,366,327,66.63,33.1,1.99,31.11,0.06,8,0.421,6,16,5,0,5,0,0,0,90,372,17,0.98,94.6,0.25,0,0.826,1,122
LA-2026-1020,Maharashtra,Nashik,Renewable Energy Solar Park,Normal,Stage 3: Section 15 Hearing & Objections,91.24,647,701,264.78,97.87,7.24,90.63,0.074,4,0.2,5,112,6,1,8,1,0,0,139,248,482,0.98,33.0,0.298,5,0.98,1,313
LA-2026-1021,Tamil Nadu,Tiruchirappalli,Rural Road Connectivity (PMGSY),Normal,Stage 3: Section 15 Hearing & Objections,13.38,58,62,124.97,54.18,6.01,48.17,0.111,3,0.15,1,95,0,0,0,1,0,0,44,136,350,0.98,27.0,0.219,5,0.404,0,0
LA-2026-1022,Odisha,Sundargarh,Urban Metro Transit Extension,Critical,Stage 1: Preliminary Survey & SIA,6.23,33,21,157.35,47.61,2.62,44.99,0.055,10,0.714,6,106,2,0,2,1,0,0,23,287,393,0.98,41.2,0.445,5,0.633,1,113
LA-2026-1023,Tamil Nadu,Coimbatore,Urban Metro Transit Extension,Cabinet Fast-Track,Stage 4: Section 19 Declaration,258.2,2059,1251,937.44,386.05,150.95,235.1,0.391,2,0.133,2,69,42,1,45,1,1,0,12,604,13,0.98,96.9,0.232,2,0.737,1,144
LA-2026-1024,Odisha,Khurda,Industrial Smart City Corridor,High,Stage 2: Section 11 Notification,77.41,299,272,334.61,104.4,15.66,88.74,0.15,17,0.739,6,79,2,0,2,0,0,0,36,371,64,0.98,84.3,0.352,1,0.7,1,147
LA-2026-1025,Gujarat,Rajkot,National Highway Corridor,High,Stage 6: Land Possession & Handover,46.38,348,254,206.23,73.11,69.38,3.73,0.949,5,0.25,1,48,4,0,4,0,0,0,73,451,69,0.98,85.8,0.175,3,0.473,0,0
LA-2026-1026,Odisha,Jajpur,Rural Road Connectivity (PMGSY),High,Stage 4: Section 19 Declaration,116.81,429,381,455.59,146.51,64.46,82.05,0.44,8,0.364,1,98,7,1,11,0,0,0,112,128,76,0.98,61.8,0.427,0,0.954,1,143
LA-2026-1027,Uttar Pradesh,Noida,High-Speed Rail / DFC,Critical,Stage 5: Valuation & Compensation Award,101.0,569,468,216.77,97.93,56.9,41.03,0.581,23,1.0,5,55,8,0,8,0,0,1,121,335,-44,0.98,99.0,0.508,5,0.857,1,142
LA-2026-1028,Madhya Pradesh,Bhopal,Renewable Energy Solar Park,High,Stage 2: Section 11 Notification,86.85,285,231,187.2,96.89,13.95,82.94,0.144,19,0.864,5,84,5,0,5,0,0,0,180,101,520,0.98,15.3,0.298,3,0.75,1,301
LA-2026-1029,Odisha,Angul,Urban Metro Transit Extension,Critical,Stage 1: Preliminary Survey & SIA,109.69,639,518,381.75,151.86,12.3,139.56,0.081,24,0.727,2,78,8,0,8,0,0,0,117,128,182,0.98,40.3,0.415,1,0.974,1,166
LA-2026-1030,Madhya Pradesh,Ujjain,Renewable Energy Solar Park,Critical,Stage 6: Land Possession & Handover,285.74,776,681,493.62,260.33,165.83,94.5,0.637,15,0.536,2,84,9,1,12,0,0,0,64,482,150,0.98,75.3,0.253,2,0.799,1,110
LA-2026-1031,Karnataka,Mysuru,High-Speed Rail / DFC,Normal,Stage 6: Land Possession & Handover,34.65,305,320,81.31,43.51,37.07,6.44,0.852,7,0.5,6,113,4,0,4,1,0,0,166,273,157,0.98,62.5,0.241,1,0.65,1,159
LA-2026-1032,Gujarat,Ahmedabad,Rural Road Connectivity (PMGSY),Normal,Stage 2: Section 11 Notification,316.52,2690,1990,699.02,231.58,42.38,189.2,0.183,33,0.971,7,6,39,0,39,1,1,0,55,254,361,0.98,40.3,0.185,3,0.853,1,270
LA-2026-1033,Odisha,Angul,Renewable Energy Solar Park,Cabinet Fast-Track,Stage 6: Land Possession & Handover,50.03,385,421,153.52,55.92,50.66,5.26,0.906,8,0.308,3,107,5,0,5,0,0,0,131,192,444,0.98,29.2,0.425,2,0.627,1,245
LA-2026-1034,Rajasthan,Jaipur,Urban Metro Transit Extension,Critical,Stage 2: Section 11 Notification,129.55,1077,849,226.67,73.77,10.4,63.37,0.141,2,0.069,2,19,19,1,21,1,0,0,91,373,85,0.98,80.5,0.3,4,0.912,1,147
LA-2026-1035,Rajasthan,Alwar,National Highway Corridor,High,Stage 4: Section 19 Declaration,59.97,470,473,227.09,110.72,27.57,83.15,0.249,1,0.029,6,61,12,1,15,0,0,0,159,428,182,0.98,69.2,0.38,4,0.835,1,198
LA-2026-1036,Karnataka,Dharwad,High-Speed Rail / DFC,Critical,Stage 2: Section 11 Notification,35.07,223,239,181.7,72.25,13.29,58.96,0.184,21,0.955,6,92,5,1,9,0,0,0,109,59,618,0.98,7.7,0.217,4,0.875,1,136
LA-2026-1037,Maharashtra,Pune,Urban Metro Transit Extension,Cabinet Fast-Track,Stage 5: Valuation & Compensation Award,41.05,335,287,234.97,74.52,40.99,33.53,0.55,12,0.6,5,27,2,0,2,0,0,0,22,216,436,0.98,32.1,0.298,2,0.515,1,112
LA-2026-1038,Madhya Pradesh,Jabalpur,Rural Road Connectivity (PMGSY),Normal,Stage 1: Preliminary Survey & SIA,195.94,676,638,299.47,131.28,19.82,111.46,0.151,2,0.105,0,0,4,0,4,0,1,0,99,56,143,0.98,27.2,0.287,0,0.718,1,218
LA-2026-1039,Gujarat,Surat,High-Speed Rail / DFC,Cabinet Fast-Track,Stage 1: Preliminary Survey & SIA,24.97,148,106,155.59,72.53,5.37,67.16,0.074,22,0.846,4,98,1,0,1,0,0,0,65,318,-21,0.98,99.0,0.205,6,0.716,1,173
LA-2026-1040,Gujarat,Vadodara,National Highway Corridor,Normal,Stage 1: Preliminary Survey & SIA,7.63,105,90,58.79,21.35,2.97,18.38,0.139,9,0.643,3,13,1,0,1,0,0,0,60,436,128,0.98,76.3,0.189,6,0.654,1,115
LA-2026-1041,Maharashtra,Thane,Renewable Energy Solar Park,Cabinet Fast-Track,Stage 2: Section 11 Notification,137.32,798,693,441.8,167.66,27.5,140.16,0.164,21,0.656,0,0,10,0,10,1,0,0,139,100,459,0.98,16.9,0.484,5,0.854,1,208
LA-2026-1042,Rajasthan,Jodhpur,Major Irrigation & Canal,High,Stage 5: Valuation & Compensation Award,371.03,2318,1399,583.71,231.35,144.83,86.52,0.626,30,0.968,7,55,25,0,25,0,0,0,79,696,18,0.98,96.5,0.242,0,0.848,1,120
LA-2026-1043,Tamil Nadu,Salem,High-Speed Rail / DFC,Cabinet Fast-Track,Stage 4: Section 19 Declaration,5.45,84,57,154.31,64.35,22.14,42.21,0.344,27,1.0,5,23,0,0,0,0,0,1,17,374,194,0.98,64.9,0.216,4,0.52,1,154
LA-2026-1044,Tamil Nadu,Tiruchirappalli,National Highway Corridor,High,Stage 2: Section 11 Notification,52.1,309,203,177.98,75.53,7.18,68.35,0.095,17,0.63,3,88,3,0,3,0,0,1,114,398,29,0.98,92.2,0.239,2,0.716,1,126
LA-2026-1045,Karnataka,Dharwad,Urban Metro Transit Extension,High,Stage 2: Section 11 Notification,29.98,223,146,157.14,76.73,5.37,71.36,0.07,11,0.393,6,95,6,0,6,0,0,0,151,514,43,0.98,91.3,0.22,1,0.804,1,310
LA-2026-1046,Uttar Pradesh,Varanasi,Industrial Smart City Corridor,Normal,Stage 3: Section 15 Hearing & Objections,123.01,941,641,472.08,192.1,37.46,154.64,0.195,6,0.333,7,35,19,0,19,0,0,0,57,810,-82,0.98,99.0,0.432,0,0.782,1,211
LA-2026-1047,Karnataka,Belagavi,High-Speed Rail / DFC,Critical,Stage 4: Section 19 Declaration,57.8,281,230,196.11,72.06,42.3,29.76,0.587,8,0.5,0,0,2,0,2,0,0,1,146,44,445,0.98,8.0,0.179,6,0.437,0,0
LA-2026-1048,Rajasthan,Jaipur,Rural Road Connectivity (PMGSY),Normal,Stage 6: Land Possession & Handover,116.47,799,830,362.78,153.07,98.88,54.19,0.646,10,0.385,2,6,15,1,19,1,0,0,132,510,-39,0.98,99.0,0.263,4,0.773,1,144
LA-2026-1049,Maharashtra,Nagpur,High-Speed Rail / DFC,Critical,Stage 5: Valuation & Compensation Award,124.43,409,268,411.77,152.02,83.31,68.71,0.548,19,0.76,3,99,7,0,7,0,0,0,152,90,344,0.98,19.8,0.279,2,0.843,1,172
LA-2026-1050,Maharashtra,Aurangabad,Urban Metro Transit Extension,Normal,Stage 5: Valuation & Compensation Award,57.69,493,520,91.93,30.04,11.6,18.44,0.386,2,0.1,2,30,6,1,7,0,0,0,64,350,42,0.98,88.3,0.264,3,0.875,1,143
LA-2026-1051,Tamil Nadu,Kanchipuram,High-Speed Rail / DFC,Critical,Stage 1: Preliminary Survey & SIA,22.53,179,185,142.36,52.63,8.32,44.31,0.158,14,0.424,4,100,2,0,2,0,0,1,28,494,-25,0.98,99.0,0.337,0,0.557,1,93
LA-2026-1052,Karnataka,Mysuru,Industrial Smart City Corridor,High,Stage 6: Land Possession & Handover,219.53,1032,867,812.21,211.06,152.39,58.67,0.722,18,0.581,7,15,12,0,12,0,0,0,88,114,127,0.98,46.3,0.267,4,0.587,1,105
LA-2026-1053,Rajasthan,Alwar,National Highway Corridor,Normal,Stage 4: Section 19 Declaration,26.13,114,124,141.31,71.81,43.09,28.72,0.6,3,0.214,0,0,1,0,1,0,0,1,16,286,224,0.98,55.1,0.366,6,0.446,0,0
LA-2026-1054,Gujarat,Rajkot,Renewable Energy Solar Park,Cabinet Fast-Track,Stage 4: Section 19 Declaration,52.3,422,351,192.97,96.67,25.23,71.44,0.261,31,0.969,1,60,7,1,10,1,1,0,121,329,36,0.98,89.2,0.133,3,0.9,1,164
LA-2026-1055,Rajasthan,Kota,Urban Metro Transit Extension,Cabinet Fast-Track,Stage 4: Section 19 Declaration,32.02,295,237,59.67,27.73,16.22,11.51,0.585,8,0.364,5,14,1,0,1,0,0,0,32,262,-45,0.98,99.0,0.252,0,0.432,0,0
LA-2026-1056,Rajasthan,Alwar,National Highway Corridor,High,Stage 2: Section 11 Notification,6.69,66,45,60.49,16.93,0.69,16.24,0.041,24,0.923,0,0,3,0,3,0,0,0,170,540,10,0.98,97.2,0.394,5,0.782,1,217
LA-2026-1057,Rajasthan,Jaipur,National Highway Corridor,High,Stage 4: Section 19 Declaration,197.66,525,508,637.95,327.23,108.31,218.92,0.331,8,0.667,6,11,9,1,10,1,0,0,151,189,153,0.98,54.3,0.287,5,0.896,1,179
LA-2026-1058,Tamil Nadu,Tiruchirappalli,Urban Metro Transit Extension,Critical,Stage 3: Section 15 Hearing & Objections,317.03,2301,2379,806.09,394.95,68.33,326.62,0.173,17,0.654,2,49,35,1,37,1,0,0,72,513,161,0.98,75.1,0.243,3,0.976,1,145
LA-2026-1059,Odisha,Sambalpur,Industrial Smart City Corridor,Normal,Stage 4: Section 19 Declaration,358.65,2070,1523,442.73,126.32,41.43,84.89,0.328,17,0.654,7,44,27,1,31,0,1,0,48,531,-46,0.98,99.0,0.313,5,0.854,1,173
LA-2026-1060,Karnataka,Mangaluru,Major Irrigation & Canal,High,Stage 2: Section 11 Notification,5.94,59,61,108.41,48.73,9.65,39.08,0.198,30,0.857,6,49,1,0,1,0,0,0,91,74,526,0.98,11.4,0.291,1,0.637,1,131
LA-2026-1061,Rajasthan,Jaipur,High-Speed Rail / DFC,Critical,Stage 6: Land Possession & Handover,20.46,186,183,147.33,56.16,55.49,0.67,0.988,0,0.0,2,52,5,0,5,1,0,1,144,132,498,0.98,20.0,0.288,4,0.557,1,156
LA-2026-1062,Madhya Pradesh,Bhopal,Rural Road Connectivity (PMGSY),Critical,Stage 2: Section 11 Notification,20.02,177,150,105.07,50.57,6.22,44.35,0.123,31,0.969,8,4,1,0,1,1,0,0,91,419,307,0.98,56.7,0.296,2,0.636,1,144
LA-2026-1063,Karnataka,Bengaluru Rural,Major Irrigation & Canal,Normal,Stage 3: Section 15 Hearing & Objections,29.05,261,156,109.88,30.87,1.82,29.05,0.059,19,0.559,0,0,5,1,6,0,1,0,52,257,25,0.98,90.2,0.467,4,0.98,1,325
LA-2026-1064,Madhya Pradesh,Ujjain,Urban Metro Transit Extension,High,Stage 6: Land Possession & Handover,125.96,887,908,264.2,83.58,54.91,28.67,0.657,19,0.792,3,63,21,0,21,0,0,0,166,70,289,0.98,18.5,0.274,2,0.784,1,224
LA-2026-1065,Maharashtra,Nashik,Industrial Smart City Corridor,High,Stage 5: Valuation & Compensation Award,7.94,71,49,77.87,38.05,16.67,21.38,0.438,20,0.952,6,88,0,0,0,0,1,0,160,383,249,0.98,59.6,0.266,3,0.654,1,168
LA-2026-1066,Rajasthan,Jaipur,High-Speed Rail / DFC,Cabinet Fast-Track,Stage 4: Section 19 Declaration,94.28,485,505,282.15,104.78,44.95,59.83,0.429,18,0.529,0,0,10,0,10,1,0,0,85,618,-71,0.98,99.0,0.344,5,0.839,1,131
LA-2026-1067,Maharashtra,Aurangabad,Urban Metro Transit Extension,Cabinet Fast-Track,Stage 5: Valuation & Compensation Award,11.17,66,64,98.24,43.05,18.86,24.19,0.438,7,0.304,3,79,2,0,2,0,0,0,165,265,208,0.98,55.0,0.313,5,0.621,1,163
LA-2026-1068,Gujarat,Ahmedabad,Urban Metro Transit Extension,Normal,Stage 6: Land Possession & Handover,14.95,108,110,133.32,44.42,42.82,1.6,0.964,23,1.0,2,11,0,0,0,0,0,0,158,64,567,0.98,9.2,0.183,1,0.459,0,0
LA-2026-1069,Gujarat,Bharuch,Industrial Smart City Corridor,Critical,Stage 6: Land Possession & Handover,16.3,180,178,85.44,43.89,43.23,0.66,0.985,10,0.476,1,59,2,0,2,1,0,0,133,161,187,0.98,45.3,0.255,6,0.499,1,410
LA-2026-1070,Madhya Pradesh,Ujjain,Industrial Smart City Corridor,Normal,Stage 5: Valuation & Compensation Award,66.1,299,236,203.45,101.29,67.86,33.43,0.67,3,0.103,7,47,5,0,5,0,0,0,77,44,540,0.98,6.6,0.283,2,0.616,1,139
LA-2026-1071,Uttar Pradesh,Varanasi,Major Irrigation & Canal,Normal,Stage 1: Preliminary Survey & SIA,198.57,1070,761,539.76,228.87,29.75,199.12,0.13,10,0.714,7,116,21,0,21,1,1,0,175,256,259,0.98,48.7,0.423,0,0.945,1,173
LA-2026-1072,Tamil Nadu,Salem,National Highway Corridor,Normal,Stage 3: Section 15 Hearing & Objections,95.52,597,480,218.9,102.23,14.82,87.41,0.145,11,0.423,8,53,7,0,7,0,0,0,109,168,562,0.98,22.0,0.206,4,0.772,1,233
LA-2026-1073,Madhya Pradesh,Jabalpur,National Highway Corridor,Critical,Stage 2: Section 11 Notification,75.9,326,280,282.97,84.1,15.14,68.96,0.18,3,0.13,5,69,4,0,4,0,1,1,70,485,149,0.98,75.5,0.356,0,0.658,1,107
LA-2026-1074,Rajasthan,Jaipur,Urban Metro Transit Extension,High,Stage 2: Section 11 Notification,5.44,79,83,92.23,43.99,7.3,36.69,0.166,4,0.211,3,8,0,0,0,0,0,0,95,55,146,0.98,26.4,0.321,6,0.528,1,96
LA-2026-1075,Karnataka,Belagavi,Rural Road Connectivity (PMGSY),High,Stage 3: Section 15 Hearing & Objections,15.47,106,106,67.41,17.23,2.27,14.96,0.132,8,0.5,2,14,2,0,2,1,1,0,47,100,82,0.98,54.0,0.233,6,0.528,1,162
LA-2026-1076,Karnataka,Mangaluru,Industrial Smart City Corridor,Normal,Stage 1: Preliminary Survey & SIA,130.24,1091,1075,429.66,114.88,10.91,103.97,0.095,26,0.743,8,14,18,0,18,0,0,0,42,83,368,0.98,17.4,0.289,0,0.731,1,157
LA-2026-1077,Rajasthan,Udaipur,High-Speed Rail / DFC,Normal,Stage 3: Section 15 Hearing & Objections,10.77,104,104,26.1,7.77,1.55,6.22,0.2,1,0.031,0,0,1,0,1,0,0,1,127,338,375,0.98,46.4,0.236,5,0.67,1,242
LA-2026-1078,Rajasthan,Jaipur,National Highway Corridor,Critical,Stage 1: Preliminary Survey & SIA,35.12,287,205,172.08,92.75,8.44,84.31,0.091,19,0.95,8,91,8,1,11,0,1,0,42,63,268,0.98,18.1,0.326,6,0.876,1,193
LA-2026-1079,Karnataka,Dharwad,Major Irrigation & Canal,High,Stage 2: Section 11 Notification,111.67,681,593,175.87,48.78,6.49,42.29,0.133,23,0.92,1,40,10,0,10,0,1,0,112,494,33,0.98,92.8,0.207,3,0.908,1,136
LA-2026-1080,Uttar Pradesh,Lucknow,Rural Road Connectivity (PMGSY),Normal,Stage 4: Section 19 Declaration,211.43,1784,1780,470.45,135.28,41.26,94.02,0.305,1,0.062,8,71,26,1,27,0,0,0,105,128,494,0.98,19.6,0.367,3,0.807,1,166
LA-2026-1081,Maharashtra,Thane,Renewable Energy Solar Park,Critical,Stage 3: Section 15 Hearing & Objections,31.63,250,273,113.12,51.37,3.6,47.77,0.07,4,0.222,7,28,9,0,9,0,1,0,139,325,-39,0.98,99.0,0.453,2,0.797,1,190
LA-2026-1082,Karnataka,Dharwad,Rural Road Connectivity (PMGSY),Normal,Stage 3: Section 15 Hearing & Objections,25.07,163,98,124.63,34.44,0.03,34.41,0.001,9,0.45,5,44,0,0,0,0,0,0,56,59,394,0.98,12.0,0.2,3,0.41,0,0
LA-2026-1083,Uttar Pradesh,Varanasi,Urban Metro Transit Extension,Normal,Stage 5: Valuation & Compensation Award,17.1,124,86,46.05,20.3,10.23,10.07,0.504,14,0.56,5,20,0,0,0,0,0,0,106,250,473,0.98,33.6,0.416,4,0.513,1,272
LA-2026-1084,Uttar Pradesh,Lucknow,High-Speed Rail / DFC,High,Stage 6: Land Possession & Handover,109.94,886,886,312.79,85.72,65.66,20.06,0.766,21,0.808,6,62,14,0,14,1,0,0,79,71,159,0.98,29.9,0.381,0,0.709,1,141
LA-2026-1085,Tamil Nadu,Tiruchirappalli,Major Irrigation & Canal,Critical,Stage 6: Land Possession & Handover,116.8,370,267,275.8,87.09,78.99,8.1,0.907,0,0.0,3,38,7,0,7,0,0,0,163,232,173,0.98,56.3,0.258,0,0.746,1,504
LA-2026-1086,Maharashtra,Nashik,Urban Metro Transit Extension,Cabinet Fast-Track,Stage 6: Land Possession & Handover,23.92,195,157,159.95,48.35,44.58,3.77,0.922,14,0.412,8,71,6,0,6,1,0,0,146,224,88,0.98,70.8,0.251,0,0.706,1,175
LA-2026-1087,Madhya Pradesh,Bhopal,Major Irrigation & Canal,Normal,Stage 6: Land Possession & Handover,47.79,317,332,141.4,60.48,46.09,14.39,0.762,26,0.765,4,14,4,0,4,0,1,0,113,617,2,0.98,98.7,0.282,4,0.746,1,201
LA-2026-1088,Rajasthan,Kota,National Highway Corridor,Cabinet Fast-Track,Stage 3: Section 15 Hearing & Objections,62.61,272,233,203.83,60.96,3.78,57.18,0.062,12,0.4,8,10,5,0,5,0,0,1,121,154,134,0.98,52.5,0.256,4,0.821,1,358
LA-2026-1089,Uttar Pradesh,Prayagraj,Renewable Energy Solar Park,High,Stage 4: Section 19 Declaration,11.49,59,48,60.36,23.23,5.3,17.93,0.228,7,0.438,1,18,1,0,1,1,1,0,175,389,148,0.98,71.5,0.369,6,0.66,1,164
LA-2026-1090,Uttar Pradesh,Varanasi,Rural Road Connectivity (PMGSY),Cabinet Fast-Track,Stage 6: Land Possession & Handover,42.5,279,287,183.63,47.79,37.09,10.7,0.776,20,0.625,5,19,2,0,2,0,0,0,154,727,-88,0.98,99.0,0.448,6,0.499,1,177
LA-2026-1091,Tamil Nadu,Tiruchirappalli,National Highway Corridor,Critical,Stage 1: Preliminary Survey & SIA,12.88,63,59,101.31,46.18,3.42,42.76,0.074,1,0.038,0,0,0,0,0,0,0,0,128,188,67,0.98,72.7,0.238,0,0.527,1,338
LA-2026-1092,Madhya Pradesh,Gwalior,Renewable Energy Solar Park,Normal,Stage 2: Section 11 Notification,67.69,355,237,112.74,52.02,8.43,43.59,0.162,16,0.593,2,7,6,0,6,0,0,0,164,194,178,0.98,51.2,0.339,0,0.867,1,229
LA-2026-1093,Gujarat,Ahmedabad,High-Speed Rail / DFC,Cabinet Fast-Track,Stage 4: Section 19 Declaration,86.76,718,706,217.28,114.2,55.62,58.58,0.487,11,0.647,5,117,17,1,21,0,1,0,166,565,151,0.98,77.9,0.199,2,0.98,1,235
LA-2026-1094,Uttar Pradesh,Noida,National Highway Corridor,Cabinet Fast-Track,Stage 3: Section 15 Hearing & Objections,19.75,139,143,184.11,51.03,5.97,45.06,0.117,9,0.29,5,10,0,0,0,1,0,0,178,400,38,0.98,90.3,0.463,5,0.696,1,209
LA-2026-1095,Madhya Pradesh,Indore,Renewable Energy Solar Park,Normal,Stage 4: Section 19 Declaration,183.74,829,653,395.14,137.71,48.75,88.96,0.354,33,1.0,1,82,14,0,14,1,0,0,42,366,199,0.98,63.8,0.238,1,0.767,1,124
LA-2026-1096,Odisha,Angul,High-Speed Rail / DFC,High,Stage 3: Section 15 Hearing & Objections,72.06,419,266,278.61,121.43,3.16,118.27,0.026,1,0.067,5,112,5,0,5,0,1,0,85,69,269,0.98,19.4,0.494,6,0.838,1,148
LA-2026-1097,Gujarat,Rajkot,National Highway Corridor,Cabinet Fast-Track,Stage 2: Section 11 Notification,69.83,461,463,335.03,85.59,4.11,81.48,0.048,14,0.667,3,68,4,0,4,0,0,0,166,257,166,0.98,59.8,0.179,1,0.718,1,142
LA-2026-1098,Odisha,Sambalpur,Major Irrigation & Canal,Cabinet Fast-Track,Stage 5: Valuation & Compensation Award,14.09,112,119,122.85,34.02,13.95,20.07,0.41,13,0.464,2,104,3,0,3,0,0,0,138,421,47,0.98,89.0,0.306,0,0.735,1,137
LA-2026-1099,Rajasthan,Kota,Renewable Energy Solar Park,Normal,Stage 4: Section 19 Declaration,22.34,140,113,147.33,53.34,17.34,36.0,0.325,12,0.857,2,34,0,0,0,0,0,0,82,157,551,0.98,21.2,0.257,0,0.552,1,88
